index1,lat1,lon1,time1,swh1,wind_speed_alt1
4182,7.478689,282.491498,NA,NA,NA
4216,2.546454,281.945207,23/01/2017 11:12,NA,NA
1395,3.576466,282.489839,24/01/2017 23:13,0.61,3.78
4287,2.547607,280.310178,26/01/2017 11:18,1.592,4.01
1344,7.443222,281.70929,27/01/2017 23:18,0.735,3.71
4290,2.522378,278.681143,29/01/2017 11:25,1.62,6.19
1344,7.462745,280.078818,30/01/2017 23:25,0.927,6.84
1354,7.483069,278.448499,02/02/2017 23:32,0.589,4.48
4233,5.932867,282.499495,05/02/2017 11:07,0.895,2.83
4223,2.519454,281.617953,08/02/2017 11:13,NA,NA
1359,5.105343,282.493855,09/02/2017 23:14,0.665,2.52
4316,2.502528,279.988078,11/02/2017 11:19,1.643,5.88
1347,7.492133,281.388463,12/02/2017 23:20,0.891,2.15
9756,2.556555,278.342336,14/02/2017 11:26,1.232,1.58
1351,7.485164,279.75304,NA,NA,NA
1346,7.494921,278.121417,18/02/2017 23:33,NA,NA
4173,4.478574,282.49144,21/02/2017 11:08,0.684,3.64
4260,2.525906,281.288383,24/02/2017 11:14,0.988,1.79
1340,6.570913,282.490959,25/02/2017 23:15,0.836,2.18
4303,2.508846,279.659419,27/02/2017 11:21,1.557,0.98
1351,7.461942,281.055936,28/02/2017 23:21,1.184,1.29
4341,2.545613,278.018406,02/03/2017 11:27,1.09,3.47
1349,7.490823,279.429679,NA,NA,NA
1342,7.481625,277.795272,06/03/2017 23:34,1.04,2.79
4189,3.022167,282.488993,09/03/2017 11:09,NA,NA
4236,2.55524,280.960015,12/03/2017 11:15,0.95,4.3
1325,7.440071,282.363726,NA,NA,NA
4288,2.559758,279.327113,15/03/2017 11:22,1.297,4.04
1344,7.45096,280.734413,16/03/2017 23:22,0.92,6.4
4344,2.503589,277.707505,18/03/2017 11:28,1.393,4.71
1333,7.461665,279.105194,19/03/2017 23:29,NA,NA
4223,2.542907,282.276925,25/03/2017 11:10,NA,NA
4258,2.523724,280.650423,28/03/2017 11:16,0.722,0.98
1344,7.458721,282.053109,NA,NA,NA
4308,2.548375,279.014042,31/03/2017 11:23,1.096,1.87
1351,7.462618,280.423197,01/04/2017 23:23,1.214,0.98
1345,7.453651,278.790811,04/04/2017 23:30,1.049,3.57
4242,2.518964,281.971011,10/04/2017 11:11,NA,NA
1397,3.464585,282.49093,11/04/2017 23:13,0.534,2.14
4271,2.558884,280.332316,13/04/2017 11:18,0.932,2.03
1351,7.444016,281.740343,14/04/2017 23:18,0.884,1.76
4326,2.508802,278.713455,16/04/2017 11:24,1.679,1.81
1346,7.463069,280.114789,17/04/2017 23:24,1.117,2.78
1352,7.469854,278.486881,20/04/2017 23:31,0.832,3.67
4289,6.12586,282.499023,23/04/2017 11:07,1.645,1.76
4258,2.553649,281.658007,26/04/2017 11:12,NA,NA
1385,4.868069,282.494698,27/04/2017 23:13,0.886,3.41
4302,2.533831,280.033456,29/04/2017 11:19,1.44,6.54
1346,7.487306,281.445514,30/04/2017 23:19,1.361,2.08
4364,2.511507,278.40984,02/05/2017 11:25,1.355,3.95
1368,7.444729,279.807538,NA,NA,NA
1369,7.497758,278.190974,NA,NA,NA
4267,4.770972,282.498154,09/05/2017 11:07,0.822,2.41
4315,2.550759,281.358913,12/05/2017 11:13,0.799,2.71
1365,6.216092,282.491996,13/05/2017 23:14,1.141,2.02
4363,2.513169,279.739155,15/05/2017 11:20,7.799,2.27
1361,7.494682,281.147449,16/05/2017 23:20,1.01,1.8
4400,2.501248,278.114198,18/05/2017 11:26,2.085,4.01
1368,7.475257,279.515426,NA,NA,NA
1370,7.441835,277.880378,22/05/2017 23:33,1.657,2.02
4250,3.469756,282.48858,25/05/2017 11:08,0.726,4.57
4315,2.540831,281.065392,28/05/2017 11:14,0.965,3.34
1340,7.412423,282.460979,29/05/2017 23:15,NA,NA
4373,2.557403,279.434819,31/05/2017 11:21,1.485,6.25
1360,7.482885,280.849823,01/06/2017 23:21,1.057,1.76
4421,2.557398,277.808428,03/06/2017 11:27,2.102,5.15
1355,7.493073,279.225349,NA,NA,NA
1367,7.499936,277.599914,07/06/2017 23:34,1.727,3.26
4257,2.540046,282.401016,NA,NA,NA
4293,2.513833,280.780205,13/06/2017 11:16,0.692,4.3
1348,7.468902,282.182599,NA,NA,NA
4359,2.511207,279.154731,16/06/2017 11:22,1.589,6.15
1358,7.451648,280.55292,17/06/2017 23:22,1.37,4.7
4433,2.545624,277.521474,19/06/2017 11:29,2.018,4.21
1368,7.447202,278.925993,20/06/2017 23:29,9.973,2.72
4297,2.525863,282.11582,26/06/2017 11:10,NA,NA
1412,2.824311,282.495945,27/06/2017 23:12,NA,NA
4341,2.513935,280.49294,29/06/2017 11:17,1.396,5.08
1354,7.497667,281.903144,30/06/2017 23:17,NA,NA
4401,2.536627,278.862905,02/07/2017 11:23,1.4,6.62
1359,7.485445,280.275365,03/07/2017 23:23,1.135,1.62
1371,7.455468,278.64333,06/07/2017 23:30,1.744,3.82
4367,6.913394,282.488795,09/07/2017 11:06,NA,NA
4304,2.513407,281.834623,12/07/2017 11:11,NA,NA
1395,4.095819,282.493709,13/07/2017 23:12,0.909,2.87
4337,2.505463,280.211832,15/07/2017 11:18,1.338,6.18
1349,7.45457,281.612381,16/07/2017 23:18,1.148,4.34
4369,2.502904,278.588196,18/07/2017 11:24,1.884,5.58
1367,7.494814,279.996969,19/07/2017 23:24,NA,NA
1369,7.442158,278.360499,22/07/2017 23:31,1.589,2.81
4315,5.647905,282.488645,25/07/2017 11:07,0.857,3.02
4316,2.514066,281.555507,28/07/2017 11:12,NA,NA
1381,5.344131,282.491942,29/07/2017 23:13,1.129,2.97
4362,2.523174,279.930149,31/07/2017 11:19,2.241,6.73
1360,7.47947,281.341485,01/08/2017 23:19,1.547,3.09
4399,2.529256,278.305353,03/08/2017 11:25,1.279,4.33
1373,7.466031,279.714674,NA,NA,NA
1371,7.494446,278.09715,07/08/2017 23:32,3.828,5.67
4305,4.404583,282.488469,10/08/2017 11:07,1.167,2.02
4294,2.500002,281.285113,13/08/2017 11:13,1.038,4.18
1360,6.602289,282.49757,14/08/2017 23:14,1.736,3.54
4365,2.505087,279.661615,16/08/2017 11:20,1.712,6.38
1365,7.457005,281.064319,17/08/2017 23:20,0.852,2.12
4392,2.516103,278.036472,19/08/2017 11:26,1.782,6.88
1374,7.490063,279.448414,NA,NA,NA
1371,7.499367,277.827814,23/08/2017 23:33,1.668,12.22
4259,3.147843,282.496375,26/08/2017 11:08,NA,NA
4301,2.53682,281.009309,29/08/2017 11:14,3.207,12.33
1352,7.302572,282.384746,30/08/2017 23:15,NA,NA
4370,2.559092,279.382889,01/09/2017 11:21,1.219,4.79
1358,7.449603,280.795223,02/09/2017 23:21,0.956,4.42
4433,2.502358,277.773699,04/09/2017 11:27,1.397,6.74
1361,7.484024,279.18074,05/09/2017 23:27,NA,NA
1365,7.452271,277.552333,08/09/2017 23:34,1.249,3.73
4279,2.572892,282.360277,11/09/2017 11:09,NA,NA
1348,7.458017,282.156901,NA,NA,NA
4343,2.53167,279.128584,17/09/2017 11:22,1.689,6.34
1330,7.492686,280.543513,18/09/2017 23:22,1.047,2.03
4440,2.520025,277.510791,20/09/2017 11:28,1.426,6.86
1361,7.465311,278.916925,21/09/2017 23:28,1.055,2.99
4297,2.523366,282.114954,27/09/2017 11:10,NA,NA
1425,2.783132,282.488056,28/09/2017 23:11,NA,NA
4340,2.544349,280.49086,30/09/2017 11:16,1.214,5.43
1352,7.489889,281.907799,01/10/2017 23:16,6.876,1.49
4362,2.512726,278.87831,03/10/2017 11:23,1.265,5.6
1357,7.486061,280.287117,04/10/2017 23:23,1.911,10.12
1366,7.483891,278.667589,07/10/2017 23:29,1.575,3.4
4327,7.00361,282.494003,10/10/2017 11:05,NA,NA
4243,2.530077,281.862706,13/10/2017 11:11,NA,NA
1404,3.968753,282.498213,14/10/2017 23:12,0.938,3.19
4313,2.513258,280.247675,16/10/2017 11:17,1.401,6.5
1355,7.441387,281.64713,17/10/2017 23:17,1.276,3.04
4343,2.55251,278.620561,19/10/2017 11:24,1.618,6.47
1371,7.477246,280.036692,20/10/2017 23:24,1.616,4.92
1367,7.445088,278.411613,23/10/2017 23:30,0.794,3.66
4307,5.867572,282.498543,26/10/2017 11:06,1.305,3.27
4240,2.526089,281.617195,29/10/2017 11:11,NA,NA
1381,5.079402,282.497796,30/10/2017 23:13,0.661,3.09
4281,2.54168,279.995931,01/11/2017 11:18,1.215,5.52
1363,7.491451,281.413982,02/11/2017 23:18,0.965,2.05
4359,2.515882,278.384206,04/11/2017 11:24,1.76,8.05
1365,7.443919,279.786368,05/11/2017 23:25,NA,NA
1361,7.461148,278.173413,08/11/2017 23:31,NA,NA
4207,4.769959,282.498789,11/11/2017 11:07,1.395,4
4248,2.555775,281.369214,14/11/2017 11:12,7.624,16.11
1382,6.121457,282.488171,15/11/2017 23:13,1.387,4.09
4300,2.523316,279.759571,17/11/2017 11:19,1.451,5.82
1365,7.475306,281.171655,18/11/2017 23:19,1.121,2.42
4320,2.553289,278.136523,20/11/2017 11:25,1.625,6.87
1360,7.449176,279.549591,21/11/2017 23:26,NA,NA
1370,7.452285,277.934092,24/11/2017 23:32,1.362,4.23
4209,3.744449,282.487156,27/11/2017 11:07,1.236,5.72
4266,2.544819,281.135001,30/11/2017 11:13,1.33,6.07
1346,7.157927,282.482609,NA,NA,NA
4268,2.552637,279.51425,03/12/2017 11:20,1.246,5.89
1358,7.460526,280.925172,04/12/2017 23:20,1.3,3.52
4309,2.561305,277.885757,06/12/2017 11:26,1.808,6.91
1366,7.395595,279.284119,NA,NA,NA
1367,7.487454,277.677487,10/12/2017 23:33,1.543,4.67
4194,2.526577,282.481633,NA,NA,NA
4239,2.554722,280.849103,16/12/2017 11:14,0.983,4.7
1342,7.498639,282.269255,NA,NA,NA
4265,2.542015,279.225857,19/12/2017 11:21,1.307,5.72
1348,7.469753,280.636638,20/12/2017 23:21,0.745,4.14
4313,2.524515,277.603733,22/12/2017 11:27,2.179,8.68
1345,7.439552,279.003754,23/12/2017 23:28,1.707,3.53
4209,2.523484,282.194476,29/12/2017 11:09,NA,NA
