"DATE","LAT","LON","SST"
2016-04-06T02:15:00.000Z,   6.02,  99.98, -32767.00
2016-04-07T02:59:59.000Z,   6.02,  99.98,  30.34
2016-04-08T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-04-09T02:45:00.000Z,   6.02,  99.98,  32.32
2016-04-10T02:54:59.000Z,   6.02,  99.98,  31.90
2016-04-11T02:34:59.000Z,   6.02,  99.98,  32.53
2016-04-12T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-04-13T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-04-14T02:34:59.000Z,   6.02,  99.98, -32767.00
2016-04-15T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-04-16T02:49:59.000Z,   6.02,  99.98,  32.84
2016-04-17T02:59:59.000Z,   6.02,  99.98,  33.06
2016-04-18T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-04-19T02:50:00.000Z,   6.02,  99.98,  31.38
2016-04-20T02:25:00.000Z,   6.02,  99.98, -32767.00
2016-04-21T02:40:00.000Z,   6.02,  99.98,  33.03
2016-04-22T02:15:00.000Z,   6.02,  99.98, -32767.00
2016-04-23T02:59:59.000Z,   6.02,  99.98,  32.53
2016-04-24T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-04-25T02:45:00.000Z,   6.02,  99.98,  31.91
2016-04-26T02:54:59.000Z,   6.02,  99.98, -32767.00
2016-04-27T02:34:59.000Z,   6.02,  99.98, -32767.00
2016-04-28T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-04-29T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-04-30T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-05-01T02:09:59.000Z,   6.02,  99.98, -32767.00
2016-05-02T02:49:59.000Z,   6.02,  99.98, -32767.00
2016-05-03T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-05-04T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-05-05T02:50:00.000Z,   6.02,  99.98,  31.11
2016-05-06T02:25:00.000Z,   6.02,  99.98,  34.10
2016-05-07T02:40:00.000Z,   6.02,  99.98, -32767.00
2016-05-08T02:15:00.000Z,   6.02,  99.98, -32767.00
2016-05-09T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-05-10T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-05-11T02:45:00.000Z,   6.02,  99.98,  32.97
2016-05-12T02:54:59.000Z,   6.02,  99.98, -32767.00
2016-05-13T02:34:59.000Z,   6.02,  99.98, -32767.00
2016-05-14T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-05-15T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-05-16T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-05-17T02:09:59.000Z,   6.02,  99.98, -32767.00
2016-05-18T02:49:59.000Z,   6.02,  99.98,  32.67
2016-05-19T02:59:59.000Z,   6.02,  99.98,  32.17
2016-05-20T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-05-21T02:50:00.000Z,   6.02,  99.98, -32767.00
2016-05-22T02:25:00.000Z,   6.02,  99.98, -32767.00
2016-05-23T02:40:00.000Z,   6.02,  99.98, -32767.00
2016-05-24T02:15:00.000Z,   6.02,  99.98, -32767.00
2016-05-25T02:54:59.000Z,   6.02,  99.98, -32767.00
2016-05-26T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-05-27T02:45:00.000Z,   6.02,  99.98, -32767.00
2016-05-28T02:54:59.000Z,   6.02,  99.98, -32767.00
2016-05-29T02:29:59.000Z,   6.02,  99.98, -32767.00
2016-05-30T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-05-31T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-06-01T02:59:59.000Z,   6.02,  99.98,  32.45
2016-06-02T02:09:59.000Z,   6.02,  99.98, -32767.00
2016-06-03T02:49:59.000Z,   6.02,  99.98, -32767.00
2016-06-04T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-06-05T02:39:59.000Z,   6.02,  99.98,  33.70
