"DATE","LAT","LON","PAR"
2016-04-21T02:40:00.000Z,   6.02,  99.98, 57.06800
2016-04-22T02:15:00.000Z,   6.02,  99.98, -32767.00000
2016-04-23T02:59:59.000Z,   6.02,  99.98, -32767.00000
2016-04-24T02:59:59.000Z,   6.02,  99.98, 54.93400
2016-04-25T02:45:00.000Z,   6.02,  99.98, -32767.00000
2016-04-26T02:54:59.000Z,   6.02,  99.98, 55.13600
2016-04-27T02:34:59.000Z,   6.02,  99.98, 53.86400
2016-04-28T02:44:59.000Z,   6.02,  99.98, 56.63400
2016-04-29T02:19:59.000Z,   6.02,  99.98, -32767.00000
2016-04-30T02:59:59.000Z,   6.02,  99.98, -32767.00000
2016-05-01T02:09:59.000Z,   6.02,  99.98, 43.82200
2016-05-02T02:49:59.000Z,   6.02,  99.98, -32767.00000
2016-05-03T02:59:59.000Z,   6.02,  99.98, 46.53600
2016-05-04T02:39:59.000Z,   6.02,  99.98, 52.34200
2016-05-05T02:50:00.000Z,   6.02,  99.98, 56.32400
2016-05-06T02:25:00.000Z,   6.02,  99.98, 54.62400
2016-05-07T02:40:00.000Z,   6.02,  99.98, 45.56600
2016-05-08T02:15:00.000Z,   6.02,  99.98, -32767.00000
2016-05-09T02:59:59.000Z,   6.02,  99.98, -32767.00000
2016-05-10T02:59:59.000Z,   6.02,  99.98, 55.62800
2016-05-11T02:45:00.000Z,   6.02,  99.98, 55.02000
2016-05-12T02:54:59.000Z,   6.02,  99.98, 47.73200
2016-05-13T02:34:59.000Z,   6.02,  99.98, 50.46400
2016-05-14T02:44:59.000Z,   6.02,  99.98, 44.69000
2016-05-15T02:19:59.000Z,   6.02,  99.98, -32767.00000
2016-05-16T02:59:59.000Z,   6.02,  99.98, 45.60200
2016-05-17T02:09:59.000Z,   6.02,  99.98, 43.92800
2016-05-18T02:49:59.000Z,   6.02,  99.98, -32767.00000
2016-05-19T02:59:59.000Z,   6.02,  99.98, 55.26000
2016-05-20T02:39:59.000Z,   6.02,  99.98, 23.38400
2016-05-21T02:50:00.000Z,   6.02,  99.98, 42.48800
2016-05-22T02:25:00.000Z,   6.02,  99.98, 18.18000
2016-05-23T02:40:00.000Z,   6.02,  99.98, 25.31200
2016-05-24T02:15:00.000Z,   6.02,  99.98, -32767.00000
2016-05-25T02:54:59.000Z,   6.02,  99.98, -32767.00000
2016-05-26T02:59:59.000Z,   6.02,  99.98, 44.03200
2016-05-27T02:45:00.000Z,   6.02,  99.98, 47.34400
2016-05-28T02:54:59.000Z,   6.02,  99.98, 29.95600
2016-05-29T02:29:59.000Z,   6.02,  99.98, 46.78200
2016-05-30T02:44:59.000Z,   6.02,  99.98, 37.76800
2016-05-31T02:19:59.000Z,   6.02,  99.98, -32767.00000
2016-06-01T02:59:59.000Z,   6.02,  99.98, 54.47000
2016-06-02T02:09:59.000Z,   6.02,  99.98, 52.47200
2016-06-03T02:49:59.000Z,   6.02,  99.98, -32767.00000
2016-06-04T02:59:59.000Z,   6.02,  99.98, 44.96200
2016-06-05T02:39:59.000Z,   6.02,  99.98, 54.72400
2016-06-06T02:50:00.000Z,   6.02,  99.98, 54.64200
2016-06-07T02:25:00.000Z,   6.02,  99.98, 50.20200
2016-06-08T02:40:00.000Z,   6.02,  99.98, 47.18200
2016-06-09T02:15:00.000Z,   6.02,  99.98, -32767.00000
2016-06-10T02:54:59.000Z,   6.02,  99.98, -32767.00000
2016-06-11T02:59:59.000Z,   6.02,  99.98, 53.76800
2016-06-12T02:45:00.000Z,   6.02,  99.98, 54.10200
2016-06-13T02:54:59.000Z,   6.02,  99.98, 47.27800
2016-06-14T02:29:59.000Z,   6.02,  99.98, 49.44400
2016-06-15T02:44:59.000Z,   6.02,  99.98, 47.61600
2016-06-16T02:19:59.000Z,   6.02,  99.98, -32767.00000
2016-06-17T02:59:59.000Z,   6.02,  99.98, 47.38800
2016-06-18T02:09:59.000Z,   6.02,  99.98, 12.07400
2016-06-19T02:49:59.000Z,   6.02,  99.98, 45.05400
2016-06-20T02:59:59.000Z,   6.02,  99.98, 33.45400
2016-06-21T02:39:59.000Z,   6.02,  99.98, 18.18400
2016-06-22T02:50:00.000Z,   6.02,  99.98, 47.93200
2016-06-23T02:25:00.000Z,   6.02,  99.98, 47.37000
2016-06-24T02:40:00.000Z,   6.02,  99.98, 54.17200
2016-06-25T02:15:00.000Z,   6.02,  99.98, -32767.00000
2016-06-26T02:54:59.000Z,   6.02,  99.98, -32767.00000
2016-06-27T02:59:58.000Z,   6.02,  99.98, 33.23600
2016-06-28T02:45:00.000Z,   6.02,  99.98, 30.79600
2016-06-29T02:54:59.000Z,   6.02,  99.98, 22.87800
2016-06-30T02:29:59.000Z,   6.02,  99.98, 23.43600
2016-07-01T02:44:59.000Z,   6.02,  99.98, 50.04000
2016-07-02T02:19:59.000Z,   6.02,  99.98, -32767.00000
2016-07-03T02:59:58.000Z,   6.02,  99.98, 53.98000
2016-07-04T02:04:59.000Z,   6.02,  99.98, 53.97000
2016-07-05T02:49:59.000Z,   6.02,  99.98, 53.34000
2016-07-06T02:59:59.000Z,   6.02,  99.98, 51.90000
2016-07-07T02:39:59.000Z,   6.02,  99.98, 22.04400
2016-07-08T02:49:59.000Z,   6.02,  99.98, 47.04200
2016-07-09T02:24:59.000Z,   6.02,  99.98, 48.12800
2016-07-10T02:40:00.000Z,   6.02,  99.98, 53.49800
2016-07-11T02:15:00.000Z,   6.02,  99.98, -32767.00000
2016-07-12T02:54:59.000Z,   6.02,  99.98, -32767.00000
2016-07-13T03:00:00.000Z,   6.02,  99.98, 24.48600
2016-07-14T02:45:00.000Z,   6.02,  99.98, 50.00200
2016-07-15T02:54:59.000Z,   6.02,  99.98, 44.88000
2016-07-16T02:29:59.000Z,   6.02,  99.98, 54.25200
2016-07-17T02:44:59.000Z,   6.02,  99.98, 54.04200
2016-07-18T02:19:59.000Z,   6.02,  99.98, -32767.00000
2016-07-19T03:00:00.000Z,   6.02,  99.98, -32767.00000
2016-07-20T02:04:59.000Z,   6.02,  99.98, 18.21200
2016-07-21T02:49:59.000Z,   6.02,  99.98, 37.61200
2016-07-22T02:59:59.000Z,   6.02,  99.98, 54.42600
2016-07-23T02:39:59.000Z,   6.02,  99.98, 52.61400
2016-07-24T02:49:59.000Z,   6.02,  99.98, 54.38000
2016-07-25T02:24:59.000Z,   6.02,  99.98, 41.20000
2016-07-26T02:40:00.000Z,   6.02,  99.98, 54.54800
2016-07-27T02:15:00.000Z,   6.02,  99.98, -32767.00000
2016-07-28T02:54:59.000Z,   6.02,  99.98, -32767.00000
2016-07-29T03:00:00.000Z,   6.02,  99.98, 54.49000
2016-07-30T02:44:59.000Z,   6.02,  99.98, 40.00400
2016-07-31T02:54:58.000Z,   6.02,  99.98, 54.84000
2016-08-01T02:29:58.000Z,   6.02,  99.98, 46.22600
2016-08-02T02:44:59.000Z,   6.02,  99.98, 54.97000
2016-08-03T02:19:59.000Z,   6.02,  99.98, -32767.00000
2016-08-04T03:00:00.000Z,   6.02,  99.98, -32767.00000
2016-08-05T02:04:59.000Z,   6.02,  99.98, 52.67600
2016-08-06T02:49:59.000Z,   6.02,  99.98, 55.10600
2016-08-07T02:59:59.000Z,   6.02,  99.98, 44.66600
2016-08-08T02:39:59.000Z,   6.02,  99.98, 32.27000
2016-08-09T02:49:59.000Z,   6.02,  99.98, 50.35000
2016-08-10T02:24:59.000Z,   6.02,  99.98, 43.62600
2016-08-11T02:40:00.000Z,   6.02,  99.98, 46.89800
2016-08-12T02:15:00.000Z,   6.02,  99.98, -32767.00000
2016-08-13T02:54:59.000Z,   6.02,  99.98, -32767.00000
2016-08-14T03:00:00.000Z,   6.02,  99.98, 34.57000
2016-08-15T02:44:59.000Z,   6.02,  99.98, 52.05800
2016-08-16T02:55:00.000Z,   6.02,  99.98, 46.41800
2016-08-17T02:30:00.000Z,   6.02,  99.98, 47.41000
2016-08-18T02:44:59.000Z,   6.02,  99.98, 46.42400
2016-08-19T02:19:59.000Z,   6.02,  99.98, -32767.00000
2016-08-20T03:00:00.000Z,   6.02,  99.98, -32767.00000
2016-08-21T02:59:59.000Z,   6.02,  99.98, 50.30400
2016-08-22T02:50:00.000Z,   6.02,  99.98, -32767.00000
2016-08-23T02:59:59.000Z,   6.02,  99.98, 44.25600
2016-08-24T02:39:59.000Z,   6.02,  99.98, 56.53400
2016-08-25T02:49:59.000Z,   6.02,  99.98, 18.76800
2016-08-26T02:24:59.000Z,   6.02,  99.98, 51.37000
2016-08-27T02:39:59.000Z,   6.02,  99.98, 40.25800
2016-08-28T02:14:59.000Z,   6.02,  99.98, -32767.00000
2016-08-29T02:54:59.000Z,   6.02,  99.98, -32767.00000
2016-08-30T03:00:00.000Z,   6.02,  99.98, 55.84800
