"DATE","LAT","LON","PIC"
2016-07-11T02:15:00.000Z,   6.02,  99.98, -32767.00000000
2016-07-12T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-13T03:00:00.000Z,   6.02,  99.98, -32767.00000000
2016-07-14T02:45:00.000Z,   6.02,  99.98, -32767.00000000
2016-07-15T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-16T02:29:59.000Z,   6.02,  99.98, 0.00030000
2016-07-17T02:44:59.000Z,   6.02,  99.98, 0.00005399
2016-07-18T02:19:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-19T03:00:00.000Z,   6.02,  99.98, -32767.00000000
2016-07-20T02:04:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-21T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-22T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-23T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-24T02:49:59.000Z,   6.02,  99.98, 0.00040600
2016-07-25T02:24:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-26T02:40:00.000Z,   6.02,  99.98, 0.00002000
2016-07-27T02:15:00.000Z,   6.02,  99.98, -32767.00000000
2016-07-28T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-29T03:00:00.000Z,   6.02,  99.98, -32767.00000000
2016-07-30T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-07-31T02:54:58.000Z,   6.02,  99.98, 0.00001200
2016-08-01T02:29:58.000Z,   6.02,  99.98, -32767.00000000
2016-08-02T02:44:59.000Z,   6.02,  99.98, 0.00001400
2016-08-03T02:19:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-04T03:00:00.000Z,   6.02,  99.98, -32767.00000000
2016-08-05T02:04:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-06T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-07T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-08T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-09T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-10T02:24:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-11T02:40:00.000Z,   6.02,  99.98, -32767.00000000
2016-08-12T02:15:00.000Z,   6.02,  99.98, -32767.00000000
2016-08-13T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-14T03:00:00.000Z,   6.02,  99.98, -32767.00000000
2016-08-15T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-16T02:55:00.000Z,   6.02,  99.98, -32767.00000000
2016-08-17T02:30:00.000Z,   6.02,  99.98, -32767.00000000
2016-08-18T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-19T02:19:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-20T03:00:00.000Z,   6.02,  99.98, -32767.00000000
2016-08-21T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-22T02:50:00.000Z,   6.02,  99.98, -32767.00000000
2016-08-23T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-24T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-25T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-26T02:24:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-27T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-28T02:14:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-29T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-08-30T03:00:00.000Z,   6.02,  99.98, -32767.00000000
2016-08-31T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-01T02:55:00.000Z,   6.02,  99.98, -32767.00000000
2016-09-02T02:30:00.000Z,   6.02,  99.98, -32767.00000000
2016-09-03T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-04T02:20:00.000Z,   6.02,  99.98, -32767.00000000
2016-09-05T03:00:00.000Z,   6.02,  99.98, -32767.00000000
2016-09-06T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-07T02:50:00.000Z,   6.02,  99.98, -32767.00000000
2016-09-08T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-09T02:39:59.000Z,   6.02,  99.98, 0.00048600
2016-09-10T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-11T02:24:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-12T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-13T02:14:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-14T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-15T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-16T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-17T02:55:00.000Z,   6.02,  99.98, -32767.00000000
2016-09-18T02:30:00.000Z,   6.02,  99.98, -32767.00000000
2016-09-19T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-20T02:20:00.000Z,   6.02,  99.98, -32767.00000000
2016-09-21T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-22T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-23T02:50:00.000Z,   6.02,  99.98, -32767.00000000
2016-09-24T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-25T02:40:00.000Z,   6.02,  99.98, -32767.00000000
2016-09-26T02:44:59.000Z,   6.02,  99.98, 0.00059599
2016-09-27T02:24:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-28T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-29T02:09:59.000Z,   6.02,  99.98, -32767.00000000
2016-09-30T02:54:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-01T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-02T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-03T02:55:00.000Z,   6.02,  99.98, -32767.00000000
2016-10-04T02:30:00.000Z,   6.02,  99.98, -32767.00000000
2016-10-05T02:40:00.000Z,   6.02,  99.98, -32767.00000000
2016-10-06T02:20:00.000Z,   6.02,  99.98, -32767.00000000
2016-10-07T02:34:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-08T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-09T02:24:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-10T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-11T02:34:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-12T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-13T02:24:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-14T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-15T02:09:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-16T02:30:00.000Z,   6.02,  99.98, -32767.00000000
2016-10-17T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-18T02:20:00.000Z,   6.02,  99.98, -32767.00000000
2016-10-19T02:55:00.000Z,   6.02,  99.98, -32767.00000000
2016-10-20T02:09:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-21T02:39:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-22T02:14:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-23T02:34:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-24T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-25T02:24:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-26T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-27T02:14:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-28T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-10-29T02:10:00.000Z,   6.02,  99.98, -32767.00000000
2016-10-30T02:39:59.000Z,   6.02,  99.98, 0.00104400
2016-10-31T02:10:00.000Z,   6.02,  99.98, -32767.00000000
2016-11-01T02:30:00.000Z,   6.02,  99.98, -32767.00000000
2016-11-02T03:00:00.000Z,   6.02,  99.98, -32767.00000000
2016-11-03T02:19:59.000Z,   6.02,  99.98, 0.00079200
2016-11-04T02:55:00.000Z,   6.02,  99.98, -32767.00000000
2016-11-05T02:09:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-06T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-07T02:04:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-08T02:34:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-09T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-10T02:24:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-11T02:59:59.000Z,   6.02,  99.98, 0.00003000
2016-11-12T02:15:00.000Z,   6.02,  99.98, 0.00061200
2016-11-13T02:49:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-14T02:10:00.000Z,   6.02,  99.98, -32767.00000000
2016-11-15T02:40:00.000Z,   6.02,  99.98, -32767.00000000
2016-11-16T02:05:00.000Z,   6.02,  99.98, -32767.00000000
2016-11-17T02:30:00.000Z,   6.02,  99.98, -32767.00000000
2016-11-18T03:00:00.000Z,   6.02,  99.98, -32767.00000000
2016-11-19T02:19:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-20T02:55:00.000Z,   6.02,  99.98, 0.00029400
2016-11-21T02:09:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-22T02:44:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-23T02:04:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-24T02:34:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-25T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-26T02:24:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-27T02:59:59.000Z,   6.02,  99.98, -32767.00000000
2016-11-28T02:15:00.000Z,   6.02,  99.98, -32767.00000000
2016-11-29T02:49:59.000Z,   6.02,  99.98, 0.00001800
2016-11-30T02:10:00.000Z,   6.02,  99.98, -32767.00000000
2016-12-01T02:40:00.000Z,   6.02,  99.98, -32767.00000000
2016-12-02T02:04:59.000Z,   6.02,  99.98, -32767.00000000
2016-12-03T02:29:59.000Z,   6.02,  99.98, -32767.00000000
2016-12-04T03:00:00.000Z,   6.02,  99.98, -32767.00000000
2016-12-05T02:19:59.000Z,   6.02,  99.98, -32767.00000000
